nombre_colegio,departamento_colegio,municipio_colegio,area_colegio,sector_colegio,lectura_critica,matematicas,sociales,ciencias,ingles,global,n_estudiantes
bachillerato tec autodirigido,atlantico,barranquilla,urbano,no oficial,55.6,48.75,48.8,49.45,59.2105263157895,256,20
beth shalom gimnasio campestre,santander,piedecuesta,urbano,no oficial,68.6666666666667,69.2222222222222,66.2222222222222,68.2222222222222,77.2222222222222,343.777777777778,9
bilingüe internacional gimnasio campestre reino británico,cundinamarca,tenjo,urbano,no oficial,69.0609756097561,71.109756097561,66.4024390243903,66.9756097560976,81.0487804878049,346.743902439024,82
bto acad ciclico del cauca,cauca,popayán,urbano,no oficial,46.7246376811594,42.2028985507246,42.304347826087,42.5217391304348,43.8260869565217,217.333333333333,69
bto formal de adultos del cauca,cauca,popayán,urbano,no oficial,46.9047619047619,42.8095238095238,41.1904761904762,40.5714285714286,42.6190476190476,214.238095238095,21
bto mix manel saturio valencia,choco,quibdó,urbano,no oficial,39.1935483870968,33.2903225806452,34.4838709677419,36.1290322580645,35.8387096774194,178.935483870968,31
bto moderno de adultos externado del sur,nariño,pasto,urbano,no oficial,53.4166666666667,51.0833333333333,44.1666666666667,44.8333333333333,52.5,243.416666666667,12
c. e. de adultos carl friedich gauss,atlantico,malambo,urbano,no oficial,43.6578947368421,40.6842105263158,37.7105263157895,41.3684210526316,40.3947368421053,204.105263157895,38
c. e. formal discenter s,valle,guadalajara de buga,urbano,no oficial,49.406779661017,46.4406779661017,43.9491525423729,44.8983050847458,45.0338983050847,230.440677966102,59
c. e. r.  el topacio,antioquia,san rafael,rural,oficial,44.2162162162162,37.8378378378378,41.6216216216216,41.8108108108108,40.2222222222222,206.324324324324,37
c. e. r.  zaragocita,antioquia,nechí,rural,oficial,43,34.9,36.4,38.5,40.2,191.8,10
c. e. r. badillo,antioquia,ituango,rural,oficial,38.9583333333333,35.75,37.4166666666667,37.875,34.4166666666667,186.375,24
c. e. r. casa grande,antioquia,concordia,rural,oficial,45.3225806451613,42,40.1612903225807,41.5806451612903,37.4193548387097,209.483870967742,31
c. e. r. el pescado,antioquia,santa fé de antioquia,rural,oficial,45.7027027027027,42.7567567567568,42.1351351351351,43.7297297297297,39.0540540540541,216.189189189189,37
c. e. r. el tigre,antioquia,cáceres,rural,oficial,48.9285714285714,38.7857142857143,40.3571428571429,41.7142857142857,37.9285714285714,210.428571428571,14
c. e. r. juan de dios carvajal,antioquia,jardín,rural,oficial,47.0769230769231,42.4615384615385,43.6153846153846,45.2307692307692,38.6153846153846,220.615384615385,13
c. e. r. la meseta,antioquia,puerto berrío,rural,oficial,45,34.8333333333333,40,38.3333333333333,40.5,198,6
c. e. r. la pica,antioquia,pueblorrico,rural,oficial,43.6,43.4,40.6,40.4,40.2,209.4,5
c. e. r. la raya,antioquia,yondó,rural,oficial,36.75,37.25,35.25,40,36.75,186.25,4
c. e. r. la venta,antioquia,urrao,rural,oficial,40,35,32.6666666666667,37.6666666666667,37,181.666666666667,3
c. e. r. las aguilas,antioquia,caracolí,rural,oficial,46.3333333333333,40.0666666666667,43.4666666666667,44.4,40.4,216.6,15
c. e. r. lourdes,antioquia,pueblorrico,rural,oficial,51.75,50.25,42,50.75,47.75,243,4
c. e. r. morelia,antioquia,concordia,rural,oficial,44.5238095238095,40.0476190476191,39.7857142857143,41.0476190476191,38.9761904761905,205.785714285714,42
c. e. r. obispo emilio botero gonzalez,antioquia,marinilla,rural,oficial,54.7,50.95,49.7,50.45,49.6,256.55,20
c. e. r. pajarito arriba,antioquia,angostura,rural,oficial,40.1111111111111,32.3055555555556,34.4722222222222,37.0277777777778,34.4444444444444,179.25,36
c. e. r. pajarito arriba,antioquia,campamento,rural,oficial,41.8139534883721,37.1860465116279,38.6511627906977,39.6976744186047,35.3953488372093,195.162790697674,43
c. e. r. pajarito arriba,antioquia,girardota,rural,oficial,44.5714285714286,40.9285714285714,40,42,39.5,208.5,14
c. e. r. pajarito arriba,antioquia,san andrés de cuerquía,rural,oficial,41.84,37.92,38.12,39.28,36.24,195.28,25
c. e. r. pajarito arriba,antioquia,san pedro de los milagros,rural,oficial,43.25,39.8125,39.3125,43.125,38.7333333333333,206,16
c. e. r. san juan,antioquia,san roque,rural,oficial,43.5,50,43.25,44.25,30.5,220.75,4
c. e. r. santa ines,antioquia,andes,rural,oficial,50.5384615384616,44.5384615384615,42.3076923076923,42.3846153846154,41.1538461538462,223.384615384615,13
c. e. sembrando futuro,atlantico,malambo,urbano,no oficial,45.2608695652174,40.3695652173913,41.4565217391304,42.5,44.304347826087,212.760869565217,46
c.e.  neosistemas,antioquia,girardota,urbano,no oficial,71.6,74.85,67.75,68,76.55,355.15,20
c.e. costa caribe,sucre,san onofre,urbano,no oficial,37.8,34.3333333333333,34.1333333333333,38.6666666666667,37.2,181.466666666667,15
c.e. divina enseñanza,magdalena,santa marta,urbano,no oficial,56.8666666666667,48.8,48.2666666666667,50.2666666666667,52.9333333333333,255.933333333333,30
c.e. el bosque,santander,molagavita,urbano,no oficial,42.8,38.8,34.6,39.8,38.6,194.6,5
c.e. el congo,cauca,toribío,rural,oficial,44.3333333333333,42.8333333333333,37,37.8333333333333,39.3333333333333,202,6
