date,Bovespa,IBrX100,Merval,IPSA,IGPA,IGBC,IPC_Mexico
2018-04-06,84820,68.37999725341797,31739,5583.14990234375,27973.859375,11879.330078125,47926.109375
2018-05-30,76754,62,28389,5484.89990234375,27786.609375,12302.8203125,44715.87890625
2018-12-13,87838,71.75,31020,5160,26158.0390625,11613.4296875,41512.51171875
2018-05-04,83118,67.61000061035156,28553,5622.240234375,28344.669921875,12301.099609375,46992.171875
2018-07-03,73668,59.70000076293945,27092,5255.1298828125,26646.9609375,12360.8701171875,47053.890625
2015-03-18,51526,42.09000015258789,11275,3865.39990234375,18862.4609375,9976.8701171875,44360.87109375
2014-04-04,51082,41.65999984741211,6387,3766.409912109375,18527.119140625,14036.6201171875,40598.33984375
2014-07-30,56878,46.06999969482422,8938,3906.3701171875,19069.720703125,14042.8203125,44311.05859375
2016-09-08,60232,49.400001525878906,16458,4106.14013671875,20405.939453125,10458.5400390625,47416.96875
2013-08-20,50507,40.040000915527344,3851,3687.18994140625,18270.939453125,13719.73046875,41825.3984375
2016-09-22,58994,48.43000030517578,16643,4100.169921875,20391.69921875,9995.1396484375,47975.05078125
2014-02-11,48463,39.2400016784668,5636,3548.8798828125,17621.08984375,12233.6396484375,40759.62109375
2017-05-17,67540,55.04999923706055,21674,4853.490234375,24357.55078125,10721.8896484375,48747.94921875
2018-01-12,79349,64.160003662109375,32720,5733.35009765625,28829.849609375,11623.7998046875,49135.91015625
2014-03-12,45862,37.63999938964844,5713,3623.2900390625,17951.7109375,12883.6298828125,38634.828125
2015-02-24,51874,41.810001373291016,9644,3987.489990234375,19400.970703125,10449.4697265625,43921.55078125
2015-01-21,49224,40.06999969482422,8674,3806.0400390625,18683.25,10535.2998046875,42488.73046875
2013-06-13,50415,40.02000045776367,3244,3981.47998046875,19790.529296875,13073.23046875,39481.46875
2015-12-04,45361,37.29999923706055,13071,3612.820068359375,17843.69921875,8051.3798828125,42994.23046875
2013-09-27,53739,42.84000015258789,4730,3872.909912109375,19028.2890625,14116.16015625,40903.6484375
2015-04-01,52322,42.63999938964844,11072,3939.169921875,19183.7109375,10175.16015625,44202.94140625
2016-05-31,48472,40,12682,3934.7099609375,19416.890625,9594.6298828125,45459.44921875
2017-08-14,68285,55.95000076293945,22540,5063.72998046875,25275.4296875,10806.1796875,51167.46875
2017-06-30,62900,51.68000030517578,21913,4747.240234375,23787.439453125,10891.25,49857.48828125
2016-01-26,37497,31.18000030517578,10493,3540.780029296875,17526.41015625,8369,41932.390625
2016-10-11,61022,49.70000076293945,17159,4103.5498046875,20563.380859375,10031.900390625,48014.3984375
2019-01-11,93658,76.4000015258789,33885,5352.8798828125,27047.94921875,11621.4404296875,43556.109375
2017-07-11,63832,52.33000183105469,22127,4894.91015625,24459.55078125,10993.83984375,50510.23046875
2015-08-14,47508,39.36000061035156,11453,3799.300048828125,18513.94921875,9707.2099609375,43746.71875
2013-05-24,56406,43.290000915527344,3510,4197.2900390625,20674.669921875,13466,40521.26953125
2016-05-10,53071,42.7599983215332,13457,4004.889892578125,19699.4609375,9859.759765625,45676.41015625
2013-04-09,55912,42.400001525878906,3475,4348.0400390625,21328.359375,13702.5595703125,43973.1796875
2013-08-13,50601,40.61000061035156,3764,3775.219970703125,18640.029296875,13827.2900390625,42366.44921875
2017-07-14,65436,53.65999984741211,21880,5000.39990234375,24955.16015625,11069.419921875,51162.23046875
2015-10-14,46710,38.5,10873,3793.72998046875,18603.580078125,9634.9404296875,44064.4296875
2018-05-11,85220,69.06999969482422,29852,5702.85009765625,28796.25,12362.099609375,46728.921875
2018-09-27,80000,64.43000030517578,33651,5323.6201171875,27028.48046875,12386.91015625,49646.91015625
2016-06-15,48915,39.91999816894531,13116,3958.1201171875,19583.83984375,9722.83984375,45011.21875
2018-08-17,76029,61.849998474121094,26239,5242.77001953125,26502.4609375,12074.7099609375,48264.62890625
2015-02-13,50636,41.16999816894531,9562,3983.27001953125,19358.509765625,10687.509765625,43072.421875
2017-02-22,68590,55.4900016784668,19915,4375.7001953125,21870.55078125,9929.400390625,47195.6796875
2013-12-30,51507,42.02000045776367,5391,3699.18994140625,18227.05078125,13071.26953125,42958.8203125
2016-03-09,48665,40.0099983215332,13269,3812.64990234375,18669.609375,9598.5498046875,44492.5
2013-08-09,49875,40.290000915527344,3615,3779.02001953125,18639.66015625,13704.2197265625,42648.73828125
2018-10-09,86088,69.3499984741211,29613,5307.93017578125,26979.259765625,12507.1396484375,48505.21875
2014-04-03,51408,41.849998474121094,6498,3793.639892578125,18628.119140625,14076.099609375,40563.05859375
2019-01-31,97394,79.69999694824219,36327,5405.60986328125,27317.470703125,11828.3203125,43987.94140625
2014-09-05,60681,49.119998931884766,10415,4071.260009765625,19723.560546875,14561.08984375,46231.44140625
2016-11-04,61598,50.099998474121094,16755,4213.169921875,21073.75,9997.76953125,46694.80859375
2015-05-04,57354,46.4900016784668,12347,4062.800048828125,19711.2890625,10781.490234375,45238.46875
2017-05-23,62662,51.22999954223633,21521,4833.97998046875,24270.25,10756.400390625,49042.51953125
2014-01-15,50105,40.540000915527344,5687,3650.070068359375,18041.880859375,12600.650390625,42511.25
2014-07-21,57634,46.2599983215332,8424,3936.830078125,19178.3203125,13897.599609375,44125.73046875
2017-03-17,64210,52.40999984741211,19434,4652.39990234375,23329.759765625,9915.1103515625,48593.44140625
2017-10-20,76391,62.52000045776367,26979,5523.97021484375,27671.880859375,10904.16015625,49988.7109375
2018-05-17,83622,67.5,31806,5689.4501953125,28762.69921875,12189.099609375,45787.8984375
2018-02-16,84525,68.3499984741211,32677,5621.669921875,28293.23046875,11726.419921875,48882.78125
2014-09-23,56541,45.459999084472656,12058,3962.280029296875,19294.259765625,13844.6201171875,45015.171875
2017-12-21,75133,60.9900016784668,28481,5450.830078125,27454.470703125,11216.9599609375,48503.30859375
2019-02-13,95842,78.25,37039,5386.60986328125,27262.150390625,11962.2197265625,42284.05859375
2016-11-23,61986,50.06999969482422,17367,4221.89013671875,21067.3203125,9717.8701171875,45184.078125
2016-03-04,49085,40.16999816894531,13269,3838.389892578125,18796.55078125,9590.5302734375,44849.01953125
2014-03-10,45533,37.33000183105469,5790,3652.510009765625,18074.140625,12799.25,38671.01171875
2017-02-14,66713,54.349998474121094,19606,4343,21673.4609375,9882.6103515625,47391.23828125
2017-08-02,67136,55.06999969482422,21799,5097.14990234375,25449.150390625,10960.9697265625,51200.12890625
2014-03-26,47966,39.349998474121094,6135,3697.139892578125,18284.390625,13435.650390625,39761.30078125
2014-03-18,46150,37.90999984741211,5884,3673.6201171875,18149.51953125,13026.580078125,38814.69140625
2015-11-24,48284,39.40999984741211,13394,3774.800048828125,18545.76953125,8483.75,44576.23046875
2018-11-07,87714,71.19999694824219,31405,5221.330078125,26504.5703125,12530.6904296875,46917.3984375
2015-04-23,55685,44.16999816894531,12205,4055.43994140625,19654.8203125,10458.9501953125,45418.828125
2017-09-08,73079,59.790000915527344,24018,5091.81005859375,25475.580078125,11210.1103515625,50083.80078125
2018-08-22,76902,62.400001525878906,26844,5274.31005859375,26638.509765625,12161.900390625,49880.33984375
2013-06-11,49770,39.959999084472656,3343,3962.949951171875,19741.029296875,13252.8896484375,39890.23828125
2017-11-07,72415,59.349998474121094,28120,5490.81982421875,27600.91015625,10740.900390625,49004.51953125
2018-08-23,75634,61.400001525878906,26523,5268.9501953125,26595.26953125,12157.830078125,49749.55859375
2014-02-05,46624,38,5924,3408.889892578125,17025.220703125,12025.2001953125,39880.87109375
2016-01-22,38031,31.579999923706055,10330,3531.56005859375,17491.099609375,8426.08984375,41621.30859375
2016-09-23,58697,47.900001525878906,16442,4094,20370.060546875,9937.7001953125,47778.48046875
2018-12-17,86400,70.19999694824219,29888,5105.14990234375,25940.66015625,11396,40340.51171875
2014-06-16,54630,44.380001068115234,7235,3841.280029296875,18795.880859375,14399.1904296875,42596.25
2017-03-09,64585,52.41999816894531,18786,4467.97998046875,22450.51953125,9880.2001953125,47263.921875
2016-04-13,53150,43.34000015258789,13298,3957.239990234375,19394.810546875,10117.83984375,45411.30078125
2018-12-18,86610,70.94999694824219,29777,5116.830078125,25986.8203125,11361.0400390625,40917.5703125
2015-05-29,52760,43.130001068115234,10801,4045.6201171875,19662.19921875,10205.169921875,44703.62109375
2016-02-02,38596,32.709999084472656,11075,3632.89990234375,17894.80078125,8495.48046875,43092.48828125
2018-06-13,72122,58.7400016784668,30228,5534.27001953125,27943.0390625,12301.26953125,46760.578125
2018-02-06,83894,67.73999786376953,31624,5697.27978515625,28720.16015625,11760.91015625,49304.94140625
