date,Nikkei225,TOPIX,HangSeng,HSCEI,CSI300,SHComposite,SZComponent,KOSPI,Nifty50,BSE_Sensex
2021-05-10,29518.33984375,1952.27001953125,28595.66015625,10651.0703125,4992.419921875,3427.989990234375,13917.9697265625,3249.300048828125,14942.349609375,49502.41015625
2021-07-28,27581.66015625,1919.6500244140625,25473.880859375,9071.099609375,4760.47998046875,3361.590087890625,14086.419921875,3236.860107421875,15709.400390625,52443.7109375
2021-06-10,28958.560546875,1956.72998046875,28738.880859375,10716.2802734375,5271.47021484375,3610.860107421875,14893.58984375,3224.639892578125,15737.75,52300.46875
2021-04-01,29388.869140625,1957.6400146484375,28938.740234375,11217.41015625,5110.77978515625,3466.330078125,13979.6904296875,3087.39990234375,14867.349609375,50029.828125
2021-07-07,28366.94921875,1937.6800537109375,27960.619140625,10149.83984375,5140.490234375,3553.719970703125,14940.0498046875,3285.340087890625,15879.650390625,53054.76171875
2021-05-27,28549.009765625,1911.02001953125,29113.19921875,10848.349609375,5338.22998046875,3608.85009765625,14897.1904296875,3165.510009765625,15337.849609375,51115.21875
2021-06-09,28860.80078125,1957.1400146484375,28742.630859375,10704.75,5236.4501953125,3591.39990234375,14718.400390625,3216.179931640625,15635.349609375,51941.640625
2021-05-28,29149.41015625,1947.43994140625,29124.41015625,10793.5498046875,5321.08984375,3600.780029296875,14852.8798828125,3188.72998046875,15435.650390625,51422.87890625
2021-09-01,28451.01953125,1980.7900390625,26028.2890625,9271.3203125,4869.4599609375,3567.10009765625,14314.08984375,3207.02001953125,17076.25,57338.2109375
2021-04-23,29020.630859375,1914.97998046875,29078.75,11067.83984375,5135.4501953125,3474.169921875,14351.8603515625,3181.080078125,14341.349609375,47878.44921875
2021-08-17,27424.470703125,1915.6300048828125,25745.869140625,9057.8798828125,4837.39990234375,3446.97607421875,14350.650390625,3143.090087890625,16614.599609375,55792.26953125
2021-08-18,27585.91015625,1923.969970703125,25867.009765625,9150.3603515625,4894.240234375,3485.285888671875,14454.1103515625,3158.929931640625,16568.849609375,55629.48828125
2021-07-09,27940.419921875,1912.3800048828125,27344.5390625,9885.419921875,5069.43994140625,3524.090087890625,14844.3603515625,3217.949951171875,15689.7998046875,52386.19140625
2021-06-21,28010.9296875,1899.449951171875,28489,10547.8603515625,5090.39013671875,3529.179931640625,14641.2900390625,3240.7900390625,15746.5,52574.4609375
2021-03-24,28405.51953125,1928.5799560546875,27918.140625,10847.98046875,4928.68994140625,3367.06005859375,13407.349609375,2996.35009765625,14549.400390625,49180.30859375
2021-07-14,28608.490234375,1963.1600341796875,27787.4609375,10065.0703125,5083.080078125,3528.5,15056.3203125,3264.81005859375,15853.9501953125,52904.05078125
2021-04-26,29126.23046875,1918.1500244140625,28952.830078125,10981.3095703125,5077.240234375,3441.169921875,14224.4501953125,3217.530029296875,14485,48386.51171875
2021-03-22,29174.150390625,1990.1800537109375,28885.33984375,11306.7099609375,5057.14990234375,3443.43994140625,13760.9697265625,3035.4599609375,14736.400390625,49771.2890625
2021-08-30,27789.2890625,1950.1400146484375,25539.5390625,8995.8203125,4813.27001953125,3528.15087890625,14423.3701171875,3144.18994140625,16931.05078125,56889.76171875
2021-08-13,27977.150390625,1956.3900146484375,26391.619140625,9377.7900390625,4945.97998046875,3516.300048828125,14799.0302734375,3171.2900390625,16529.099609375,55437.2890625
2021-08-04,27584.080078125,1921.4300537109375,26426.55078125,9419.25,4978.85009765625,3477.219970703125,14990.1103515625,3280.3798828125,16258.7998046875,54369.76953125
2021-05-18,28406.83984375,1907.739990234375,28593.810546875,10654.2998046875,5187.60009765625,3529.010009765625,14450.599609375,3173.050048828125,15108.099609375,50193.328125
2021-07-27,27970.220703125,1938.0400390625,25086.4296875,8879.580078125,4751.31005859375,3381.179931640625,14093.6396484375,3232.530029296875,15746.4501953125,52578.76171875
2021-08-26,27742.2890625,1935.3499755859375,25415.689453125,8937.2900390625,4801.60986328125,3501.6640625,14415.4599609375,3128.530029296875,16636.900390625,55949.1015625
2021-07-20,27388.16015625,1888.8900146484375,27259.25,9864.5703125,5108.990234375,3536.7900390625,15011.349609375,3232.699951171875,15632.099609375,52198.51171875
2021-04-07,29730.7890625,1967.4300537109375,28674.80078125,11070.580078125,5103.740234375,3479.6298828125,13979.3095703125,3137.409912109375,14819.0498046875,49661.76171875
2021-05-11,28608.58984375,1905.9200439453125,28013.810546875,10431.5498046875,5023.06005859375,3441.85009765625,13966.7900390625,3209.429931640625,14850.75,49161.80859375
2021-08-10,27888.150390625,1936.280029296875,26605.619140625,9499.1796875,5043.14990234375,3529.929931640625,15057.58984375,3243.18994140625,16280.099609375,54554.66015625
2021-08-05,27728.119140625,1928.97998046875,26204.689453125,9296.4296875,4948.669921875,3466.550048828125,14872.23046875,3276.1298828125,16294.599609375,54492.83984375
2021-05-26,28642.189453125,1920.6700439453125,29166.009765625,10855.580078125,5320.58984375,3593.360107421875,14793.6796875,3168.429931640625,15301.4501953125,51017.51953125
2021-04-20,29100.380859375,1926.25,29135.73046875,11085.8701171875,5083.3701171875,3472.93994140625,14101.900390625,3220.699951171875,14296.400390625,47705.80078125
2021-04-27,28991.890625,1903.550048828125,28941.5390625,10983.4599609375,5090.52001953125,3442.610107421875,14264.080078125,3215.419921875,14653.0498046875,48944.140625
2021-06-24,28875.23046875,1947.0999755859375,28882.4609375,10677.3095703125,5155.97021484375,3566.64990234375,14784.7998046875,3286.10009765625,15790.4501953125,52699
2021-06-15,29441.30078125,1975.47998046875,28638.529296875,10668.9296875,5166.56005859375,3556.56005859375,14673.33984375,3258.6298828125,15869.25,52773.05078125
2021-09-03,29128.109375,2015.449951171875,25901.990234375,9291.7099609375,4843.06005859375,3581.72998046875,14179.8603515625,3201.06005859375,17323.599609375,58129.94921875
2021-07-12,28569.01953125,1953.3299560546875,27515.240234375,9945.73046875,5132.7099609375,3547.840087890625,15161.51953125,3246.469970703125,15692.599609375,52372.69140625
2021-08-12,28015.01953125,1953.550048828125,26517.8203125,9465.4599609375,4973.35009765625,3524.739990234375,14901.9697265625,3208.3798828125,16364.400390625,54843.98046875
2021-05-21,28317.830078125,1904.68994140625,28458.439453125,10702.5703125,5134.14990234375,3486.56005859375,14417.4599609375,3156.419921875,15175.2998046875,50540.48046875
2021-05-14,28084.470703125,1883.4200439453125,28027.5703125,10404.9501953125,5110.58984375,3490.3798828125,14208.7802734375,3153.320068359375,14677.7998046875,48732.55078125
2021-04-30,28812.630859375,1898.239990234375,28724.880859375,10825.25,5123.490234375,3446.860107421875,14438.5703125,3147.860107421875,14631.099609375,48782.359375
2021-03-18,30216.75,2008.510009765625,29405.720703125,11470.4296875,5141.77001953125,3463.068115234375,13963.919921875,3066.010009765625,14557.849609375,49216.51953125
2021-03-23,28995.919921875,1971.47998046875,28497.380859375,11111.1796875,5009.25,3411.510009765625,13607.26953125,3004.739990234375,14814.75,50051.44140625
2021-03-30,29432.69921875,1977.8599853515625,28577.5,11020.8701171875,5094.72998046875,3456.679931640625,13888.4404296875,3070,14845.099609375,50136.578125
2021-03-31,29178.80078125,1954,28378.349609375,10972.0400390625,5048.35986328125,3441.909912109375,13778.669921875,3061.419921875,14690.7001953125,49509.1484375
2021-04-12,29538.73046875,1954.5899658203125,28453.279296875,10874.830078125,4947.75,3412.949951171875,13495.7197265625,3135.590087890625,14310.7998046875,47883.37890625
2021-05-12,28147.509765625,1877.949951171875,28231.0390625,10556.5703125,5044.5498046875,3462.75,14064.8701171875,3161.659912109375,14696.5,48690.80078125
2021-08-23,27494.240234375,1915.1400146484375,25109.58984375,8815.5595703125,4835.8798828125,3477.1298828125,14535.8798828125,3090.2099609375,16496.44921875,55555.7890625
2021-08-31,28089.5390625,1960.699951171875,25878.990234375,9183.759765625,4805.60986328125,3543.93994140625,14328.3798828125,3199.27001953125,17132.19921875,57552.390625
2021-08-24,27732.099609375,1934.199951171875,25727.919921875,9098.6796875,4888.39013671875,3514.470947265625,14663.5498046875,3138.300048828125,16624.599609375,55958.98046875
2021-07-06,28643.2109375,1954.5,28072.859375,10269.599609375,5083.10009765625,3530.260009765625,14667.650390625,3305.2099609375,15818.25,52861.1796875
2021-04-16,29683.369140625,1960.8699951171875,28969.7109375,11027.509765625,4966.18017578125,3426.6201171875,13720.740234375,3198.6201171875,14617.849609375,48832.03125
2021-07-30,27283.58984375,1901.0799560546875,25961.029296875,9233.2197265625,4811.169921875,3397.360107421875,14473.2099609375,3202.320068359375,15763.0498046875,52586.83984375
2021-07-16,28003.080078125,1932.18994140625,28004.6796875,10152.9501953125,5094.77001953125,3539.300048828125,14972.2099609375,3276.909912109375,15923.400390625,53140.05859375
2021-06-04,28941.51953125,1959.18994140625,28918.099609375,10805.6396484375,5282.27978515625,3591.840087890625,14870.91015625,3240.080078125,15670.25,52100.05078125
2021-08-11,28070.509765625,1954.0799560546875,26660.16015625,9548.1298828125,5015.33984375,3532.6201171875,15021.169921875,3220.6201171875,16282.25,54525.9296875
2021-09-30,29452.66015625,2030.1600341796875,24575.640625,8726.3798828125,4866.3798828125,3568.169921875,14309.009765625,3068.820068359375,17618.150390625,59126.359375
