date,S&P500,S&P100,S&P400,DJI,DJT,DJU,NSDQComp,NSDQ100,RUI,RUT,RUA,W5000
2020-12-01,3662.449951171875,1679.489990234375,2194.5,29823.919921875,12493.740234375,868.25,12355.1103515625,12455.330078125,2058.719970703125,1836.050048828125,2176.679931640625,38194.2890625
2021-02-10,3909.8798828125,1794.739990234375,2519.239990234375,31437.80078125,12954.5302734375,871.2100219726564,13972.5302734375,13655.26953125,2221.300048828125,2282.43994140625,2370.669921875,41833.26953125
2019-12-20,3221.219970703125,1435.6500244140625,2065.610107421875,28455.08984375,10900.73046875,878.260009765625,8924.9599609375,8678.490234375,1779.489990234375,1671.9000244140625,1887.8199462890625,32811.23046875
2013-02-04,1495.7099609375,673.77001953125,1091.27001953125,13880.080078125,5820.31005859375,471.3599853515625,3131.169921875,2715.679931640625,830.42999267578125,899.280029296875,890.2899780273436,15794.259765625
2011-10-07,1155.4599609375,523.3599853515625,799.17999267578125,11103.1201171875,4359.5498046875,431.3399963378906,2479.35009765625,2202.760009765625,636.6500244140625,656.21002197265625,679.95001220703125,12085.080078125
2023-01-03,3824.139892578125,1701.9300537109375,2418.77001953125,33136.37109375,13398.0302734375,970.67999267578125,10386.98046875,10862.6396484375,2097.010009765625,1750.72998046875,2207.550048828125,37900.25
2018-05-07,2672.6298828125,1174.260009765625,1907.9200439453125,24357.3203125,10361.75,700.34002685546875,7265.2099609375,6821.8701171875,1483.0999755859375,1578.949951171875,1587.43994140625,27815.669921875
2015-07-17,2126.639892578125,943.27001953125,1507.8199462890625,18086.44921875,8293.6103515625,575.41998291015625,5210.14013671875,4661.60009765625,1185.4300537109375,1267.0899658203125,1269.449951171875,22420.66015625
2024-07-18,5544.58984375,2682.1201171875,3036.85009765625,40665.01953125,15787.2197265625,950.8900146484376,17871.220703125,19705.08984375,3022.1298828125,2198.2900390625,3156.919921875,55494.3984375
2015-12-23,2064.2900390625,920.75,1415.43994140625,17602.609375,7610.490234375,581.010009765625,5045.93017578125,4624.58984375,1143.050048828125,1152.8199462890625,1218.4599609375,21379.390625
2016-01-15,1880.3299560546875,839.8900146484375,1269.8299560546875,15988.080078125,6689.06005859375,582.78997802734375,4488.419921875,4141.080078125,1038.030029296875,1007.719970703125,1103.3399658203125,19335.23046875
2015-02-18,2099.679931640625,923.1699829101564,1507.9300537109375,18029.849609375,9081.1103515625,606.67999267578125,4906.35986328125,4390.91015625,1170.949951171875,1227.949951171875,1252.1800537109375,22161.029296875
2024-11-01,5728.7998046875,2770.97998046875,3102.85009765625,42052.19140625,16351.330078125,1019.02001953125,18239.919921875,20033.140625,3132.8798828125,2210.1298828125,3267.780029296875,57410.4609375
2013-08-22,1656.9599609375,740.6699829101564,1215.72998046875,14963.740234375,6472.5400390625,479.2200012207031,3638.7099609375,3101.820068359375,922.44000244140625,1036.199951171875,991.780029296875,17619.630859375
2021-09-01,4524.08984375,2079.2900390625,2760.219970703125,35312.53125,14751.6201171875,945.3699951171876,15309.3798828125,15611.5703125,2539.68994140625,2287.06005859375,2686.199951171875,47044.69140625
2017-06-28,2440.68994140625,1075.739990234375,1755.7900390625,21454.609375,9517.4404296875,713.30999755859375,6234.41015625,5753.02978515625,1353.010009765625,1425.27001953125,1446.969970703125,25398.390625
2022-02-03,4477.43994140625,2065.409912109375,2618.860107421875,35111.16015625,15469.080078125,950.5999755859376,13878.8203125,14501.1103515625,2532.22998046875,1991.030029296875,2594.10009765625,44884.83984375
2015-01-08,2062.139892578125,909.8699951171876,1453.22998046875,17907.869140625,8961.599609375,626.6099853515625,4736.18994140625,4240.5498046875,1146.2099609375,1196.1300048828125,1225.260009765625,21672.390625
2015-06-09,2080.14990234375,915.22998046875,1512.97998046875,17764.0390625,8307.33984375,559.760009765625,5013.8701171875,4427.60986328125,1162.0899658203125,1249.6600341796875,1245.1099853515625,22014.599609375
2014-10-14,1877.699951171875,840.0399780273436,1300.27001953125,16315.1904296875,7919,566.21002197265625,4227.169921875,3810.449951171875,1041.7900390625,1061.5999755859375,1111.6300048828125,19707.630859375
2012-05-17,1304.8599853515625,595.8900146484375,915.989990234375,12442.490234375,4938.18017578125,464.0899963378906,2813.68994140625,2509.050048828125,720.780029296875,754.3300170898436,770.72998046875,13677.4296875
2015-01-16,2019.4200439453125,889.79998779296875,1430.8900146484375,17511.5703125,8764.1201171875,640.739990234375,4634.3798828125,4142.14013671875,1123.1099853515625,1176.6500244140625,1200.9300537109375,21244.6796875
2019-01-14,2582.610107421875,1143.949951171875,1753.1700439453125,23909.83984375,9630.919921875,695.08001708984375,6905.919921875,6541.0400390625,1429.1500244140625,1432.81005859375,1523.010009765625,26697.689453125
2016-06-29,2070.77001953125,916.82000732421875,1468.199951171875,17694.6796875,7412.9501953125,701.1199951171875,4779.25,4364.740234375,1145.949951171875,1131.6199951171875,1219.6099853515625,21417.529296875
2022-08-12,4280.14990234375,1952.3499755859375,2615.010009765625,33761.05078125,15146.7001953125,1041.56005859375,13047.1904296875,13565.8701171875,2357.889892578125,2016.6199951171875,2485.800048828125,42867.30859375
2019-05-02,2917.52001953125,1292.8800048828125,1952.8699951171875,26307.7890625,10787.6396484375,777.969970703125,8036.77001953125,7724.06005859375,1616.3699951171875,1582.6500244140625,1719.6300048828125,30127.5
2021-05-03,4192.66015625,1904.780029296875,2740.3701171875,34113.23046875,15618.599609375,919.780029296875,13895.1201171875,13799.7197265625,2361.389892578125,2277.449951171875,2509.050048828125,43933.859375
